Date,Movie ,Location,Showtime,Type,Age Rating
19-Nov-19,Motherless Brooklyn,Cineplex Yonge-Dundas,7:10 PM,Regular,14A
19-Nov-19,Motherless Brooklyn,Cineplex Yonge-Dundas,10:30 PM,Regular,14A
19-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,2:20 PM,Regular,G
19-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,4:50 PM,Regular,G
19-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,7:20 PM,Regular,G
19-Nov-19,Playing With Fire,Cineplex Yonge-Dundas,9:40 PM,Regular,G
19-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,2:00 PM,Regular,PG
19-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,4:50 PM,Regular,PG
19-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,7:40 PM,Regular,PG
19-Nov-19,Somewhere Winter (Mandarin w/ Chinese & English s.t.),Cineplex Yonge-Dundas,10:30 PM,Regular,PG
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,3:30 PM,Regular,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,6:30 PM,Regular,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,9:30 PM,Regular,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,1:00 PM,4DX,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,4:00 PM,4DX,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,7:10 PM,4DX,14A
19-Nov-19,Terminator: Dark Fate,Cineplex Yonge-Dundas,10:10 PM,4DX,14A
19-Nov-19,The Addams Family,Cineplex Yonge-Dundas,7:10 PM,Regular,PG
19-Nov-19,The Godfather: Part II - Classic Films,Cineplex Yonge-Dundas,6:30 PM,Regular,14A
19-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,2:30 PM,Regular,PG
19-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,5:00 PM,Regular,PG
19-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,7:30 PM,Regular,PG
19-Nov-19,The Warrior Queen of Jhansi,Cineplex Yonge-Dundas,10:10 PM,Regular,PG
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,1:40 PM,D-Box AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,4:40 PM,D-Box AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,7:40 PM,D-Box AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,10:40 PM,D-Box AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,1:40 PM,Ultra AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,4:40 PM,Ultra AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,7:40 PM,Ultra AVX,14A
19-Nov-19,Terminator: Dark Fate,Scotiabank Theatre,10:40 PM,Ultra AVX,14A
19-Nov-19,Charlie's Angels,Scotiabank Theatre,12:50 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,1:35 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,3:45 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,4:30 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,6:40 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,7:25 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,9:35 PM,Regular,PG
19-Nov-19,Charlie's Angels,Scotiabank Theatre,10:20 PM,Regular,PG
19-Nov-19,Doctor Sleep,Scotiabank Theatre,12:30 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,2:50 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,3:45 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,6:15 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,7:00 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,9:30 PM,Regular,14A
19-Nov-19,Doctor Sleep,Scotiabank Theatre,10:15 PM,Regular,14A
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,12:20 PM,IMAX,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,3:40 PM,IMAX,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,7:05 PM,IMAX,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,10:30 PM,IMAX,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,3:00 PM,Regular,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,6:30 PM,Regular,PG
19-Nov-19,Ford v. Ferrari,Scotiabank Theatre,10:00 PM,Regular,PG
19-Nov-19,Jojo Rabbit,Scotiabank Theatre,12:25 PM,Regular,PG
19-Nov-19,Jojo Rabbit,Scotiabank Theatre,3:00 PM,Regular,PG
19-Nov-19,Jojo Rabbit,Scotiabank Theatre,5:45 PM,Regular,PG
19-Nov-19,Jojo Rabbit,Scotiabank Theatre,8:30 PM,Regular,PG
19-Nov-19,Joker,Scotiabank Theatre,1:50 PM,Regular,14A
19-Nov-19,Joker,Scotiabank Theatre,4:45 PM,Regular,14A
19-Nov-19,Joker,Scotiabank Theatre,7:45 PM,Regular,14A
19-Nov-19,Joker,Scotiabank Theatre,10:40 PM,Regular,14A
19-Nov-19,Midway,Scotiabank Theatre,12:25 PM,Regular,PG
19-Nov-19,Midway,Scotiabank Theatre,3:30 PM,Regular,PG
19-Nov-19,Midway,Scotiabank Theatre,6:40 PM,Regular,PG
19-Nov-19,Midway,Scotiabank Theatre,9:50 PM,Regular,PG
19-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,12:45 PM,Regular,14A
19-Nov-19,Parasite (Korean w/e.s.t),Scotiabank Theatre,4:00 PM,Regular,14A
